Make,Model,Used/New,FuelType,ExteriorColor,DealType,InteriorColor,Mileage,MinMPG,MaxMPG,Price
Mercedes-Benz,E-Class E 400 4MATIC,Used,Gasoline,White,Good,Red,39816,20,28,"$35,000"
Mazda,CX-5 Touring,Used,Gasoline,Sonic Silver Metallic,Good,Black,46562,25,31,"$27,889"
Chevrolet,Trailblazer LS,Used,Gasoline,Maroon,Great,Gray,57731,15,21,"$6,495"
Land,Rover Range Rover Sport 3.0L Supercharged SE,Used,Gasoline,Santorini Black,Great,Ebony/Ebony/Ebony/Ebony,34311,17,23,"$65,996"
Land,Rover Range Rover Velar P250 SE R-Dynamic,Used,Gasoline,Aruba,Good,Ebony / Ebony,21369,21,27,"$56,900"
Ford,Escape SEL,Ford Certified,Gasoline,Gray,Great,Black,12666,23,30,"$24,988"
Acura,RDX Technology Package,Acura Certified,Gasoline,White Diamond Pearl,Fair,Parchment,37263,20,28,"$34,987"
Jeep,Grand Cherokee Limited,Used,Gasoline,Granite Crystal Clearcoat Metallic,Great,Black,31483,18,25,"$33,990"
RAM,1500 Longhorn,Used,Gasoline,Diamond Black,Good,Black,44452,19,24,"$53,495"
Chevrolet,Equinox 1LT,Used,Gasoline,Iridescent Pearl Tricoat,Great,Jet Black,47626,26,32,"$23,135"
Honda,CR-V EX,Used,Gasoline,Molten Lava Pearl,Good,Ivory,67174,27,33,"$28,783"
Lexus,RX 350,Used,Gasoline,Eminent White Pearl,Good,Brown,37871,19,26,"$40,399"
Hyundai,Kona SE,Used,Gasoline,Ultra Black,Good,Black,18206,25,30,"$23,990"
Jeep,Grand Cherokee Limited,Used,Gasoline,Billet Silver Metallic Clearcoat,Good,Black,36138,18,25,"$38,000"
Nissan,Rogue SL,Nissan Certified,Gasoline,Caspian Blue,Good,Beige,15570,25,32,"$28,506"
Mercedes-Benz,GLB 250 4MATIC,Mercedes-Benz Certified,Gasoline,Black,Good,–,17248,23,30,"$43,880"
Kia,Telluride S,Used,Gasoline,Burgundy,Good,Black,49762,19,24,"$38,998"
Mercedes-Benz,GLE 450 AWD 4MATIC,Mercedes-Benz Certified,Gasoline,Emerald Green Metallic,Great,–,24900,19,24,"$62,550"
Volkswagen,Jetta 1.4T S,Used,Gasoline,Platinum Gray Metallic,Good,Titan Black,21699,30,40,"$20,000"
Honda,Passport EX-L,Used,Gasoline,Modern Steel Metallic,Good,Gray,22224,20,25,"$34,824"
Hyundai,Santa Fe Limited 2.4,Used,Gasoline,Portofino Gray,Great,Black / Beige,13232,22,29,"$34,997"
Nissan,Rogue S,Used,Gasoline,Gun Metallic,Great,Charcoal,14868,25,32,"$25,495"
Tesla,Model Y Performance,Used,Electric,Black,Good,White / Black,28566,115,106,"$69,898"
Dodge,Durango GT,Used,Gasoline,DB Black Crystal Clearcoat,Good,Black,33846,18,25,"$39,965"
BMW,X7 xDrive40i,Used,Gasoline,Alpine White,Fair,Black,22859,20,25,"$77,999"
Hyundai,Palisade SE,Used,Gasoline,Rainforest,Great,Black,10251,19,24,"$39,798"
Dodge,Challenger GT,Used,Gasoline,Destroyer Gray Clearcoat,Good,Black,14090,18,27,"$38,779"
Jeep,Cherokee Limited,Used,Gasoline,Diamond Black,Good,Black,14470,19,27,"$34,889"
Chevrolet,Corvette Stingray,Used,Gasoline,Arctic White,Fair,Gray,17189,16,25,"$55,500"
BMW,X5 xDrive40i,BMW Certified,Gasoline,Mineral White Metallic,Good,Black,20569,20,26,"$56,322"
Alfa,Romeo Stelvio Base,Used,Gasoline,Alfa White,Good,Black / Red,16185,22,29,"$39,900"
Mercedes-Benz,GLE 350 Base,Used,Gasoline,Black,Good,–,10573,19,26,"$63,995"
Lexus,ES 350 F Sport,Used,Gasoline,–,Great,–,10211,22,31,"$33,999"
Honda,Civic LX,Used,Gasoline,Modern Steel Metallic,Great,Black,10119,30,38,"$24,249"
MINI,Countryman Cooper S,MINI Certified,Gasoline,Midnight Black Metallic,Good,Black Pearl,31557,23,32,"$29,591"
Jeep,Grand Cherokee Limited,Used,Gasoline,Slate Blue Pearlcoat,Good,Black,15093,18,25,"$37,526"
Ford,Mustang EcoBoost Premium,Used,Gasoline,Black,Great,Black,68431,22,31,"$18,990"
Subaru,Legacy 2.5i Premium,Used,Gasoline,Crystal White Pearl,,Black,38603,25,34,"$13,399"
Mazda,CX-5 Grand Touring,Used,Gasoline,Machine Gray Metallic,Good,Black,47047,24,30,"$27,884"
Honda,CR-V EX-L,Honda Certified,Gasoline,Gunmetal Metallic,Good,Gray,33255,27,33,"$31,387"
Dodge,Durango R/T,Dodge Certified,Gasoline,Granite Clearcoat,Good,Red,15070,14,22,"$53,500"
Porsche,Macan S,Used,Gasoline,White,Great,–,18393,18,23,"$65,860"
Audi,A4 2.0T Premium,Used,Gasoline,Florett Silver Metallic,Great,Black,26863,23,34,"$31,495"
Porsche,911 Turbo,Porsche Certified,Gasoline,Rhodium Silver,Fair,Black,17504,17,24,"$154,999"
Audi,Q8 55 Premium,Used,Gasoline,Daytona Gray Pearl Effect,Good,Black,17055,18,23,"$78,995"
Subaru,Crosstrek 2.0i Premium,Used,Gasoline,Sunshine Orange,Good,Gray,11664,27,33,"$28,167"
Subaru,Outback Limited XT,Subaru Certified,Gasoline,Crystal White Pearl,Great,Black,10105,23,30,"$37,495"
Honda,Pilot EX-L,Used,Gasoline,Crystal Black Pearl,Great,Black,16715,19,26,"$41,491"
Honda,Civic LX,Honda Certified,Gasoline,Blue,Good,–,19613,30,38,"$24,965"
Lexus,GX 460 Base,Used,Gasoline,Starfire Pearl,Good,Sepia,83877,15,18,"$36,998"
Land,Rover Discovery HSE,Used,Gasoline,Namib Orange,Great,Ebony,15756,16,21,"$51,241"
Land,Rover Range Rover Evoque S,Used,Gasoline,Eiger Grey,Good,White,30332,20,27,"$41,585"
RAM,1500 Laramie,Used,Gasoline,Granite Crystal Clearcoat Metallic,Good,Black,23173,15,21,"$41,860"
BMW,330 i,BMW Certified,Gasoline,Portimao Blue Metallic,Good,–,42869,26,36,"$36,797"
Tesla,Model 3 Performance,Used,Gasoline,Pearl White Multi,Good,Black,23968,118,107,"$64,698"
Lexus,RX 350 350,Used,Gasoline,–,Good,–,30485,20,28,"$44,222"
Porsche,911 Carrera S,Used,Gasoline,Chalk,,–,18990,18,23,"$179,900"
BMW,530 i,BMW Certified,Gasoline,Glacier Silver Metallic,Good,Black,43515,24,34,"$38,997"
Subaru,Outback 2.5i Premium,Used,Gasoline,Tungsten Metallic,Good,Ivory,22243,25,32,"$26,598"
Nissan,Rogue Sport S,Used,Gasoline,Brilliant Silver Metallic,Good,Charcoal,48141,25,32,"$21,990"
Lexus,RX 350 Base,Used,Gasoline,Starfire Pearl,Good,Saddle Tan,87026,18,25,"$25,167"
Mazda,CX-5 Grand Touring,Used,Gasoline,Machine Gray Metallic,Great,Black,50835,25,31,"$26,499"
BMW,435 Gran Coupe i,Used,Gasoline,Carbon Black Metallic,,Black,100256,21,32,"$24,472"
BMW,X1 sDrive28i,BMW Certified,Gasoline,Mineral Gray Metallic,Fair,Black,46645,23,32,"$29,962"
Volvo,XC40 T5 R-Design,Used,Gasoline,Magnesium,Good,Charcoal,21539,22,30,"$47,962"
Mercedes-Benz,CLA 250 Base,Used,Gasoline,Jupiter Red,Great,Black,33242,24,37,"$28,901"
RAM,1500 Laramie,Used,Gasoline,Diamond Black,Good,Black,31296,19,24,"$49,600"
Mazda,Mazda3 FWD w/Preferred Package,Used,Gasoline,Snowflake White Pearl,Great,Black / Navy Blue,11945,26,35,"$27,981"
Honda,Pilot EX-L w/Navigation/RES,Used,Gasoline,Modern Steel Metallic,Good,Black,85970,19,27,"$33,497"
Ford,Explorer Limited,Used,Gasoline,Black,Good,Black,31148,19,27,"$35,999"
Ford,F-150 Lariat,Used,Gasoline,Magnetic Metallic,Good,Black,52785,19,24,"$43,000"
Chevrolet,Tahoe LT,Used,Gasoline,Black,Good,Black,24883,16,20,"$69,976"
BMW,X5 xDrive40i,Used,Gasoline,Arctic Gray Metallic,Good,Black,36515,20,26,"$49,933"
Honda,Pilot EX-L,Used,Gasoline,Modern Steel Metallic,Good,Black,17451,18,26,"$43,000"
INFINITI,QX60 Luxe,Used,Gasoline,Hermosa Blue,Great,Wheat,31718,20,27,"$34,491"
Acura,RDX w/A-Spec Package,Used,Gasoline,Platinum White Pearl,Good,Red,11926,22,27,"$45,995"
Mercedes-Benz,GLB 250 Base,Used,Gasoline,Iridium Silver Metallic,Good,–,16826,23,30,"$41,391"
Subaru,Outback 2.5i Premium,Used,Gasoline,Carbide Gray Metallic,Fair,Black,81604,25,32,"$23,500"
Mazda,CX-5 Grand Touring,Used,Gasoline,Deep Crystal Blue Mica,Great,Parchment,11754,24,30,"$32,998"
Honda,Civic EX-L,Used,Gasoline,Black,Fair,–,34002,32,42,"$28,995"
Cadillac,XT5 Luxury,Cadillac Certified,Gasoline,Red Horizon Tintcoat,Good,Beige,35520,18,25,"$38,111"
Ford,Edge Titanium,Used,Gasoline,Burgundy,Good,Ceramic,46532,20,27,"$26,994"
Cadillac,XT5 Luxury,Used,Gasoline,Manhattan Noir Metallic,Great,Shara Beige,20762,19,26,"$35,459"
Ford,Edge Titanium,Used,Gasoline,Blue Jeans Metallic,Good,Ceramic,45137,20,27,"$26,688"
Mercedes-Benz,C-Class C 300 4MATIC,Mercedes-Benz Certified,Gasoline,Black,Good,–,31619,22,33,"$35,493"
Acura,TLX A-Spec,Acura Certified,Gasoline,Platinum White,Great,Red,5044,22,30,"$47,898"
Mercedes-Benz,C-Class C 300 4MATIC,Used,Gasoline,Black,Good,–,16149,23,33,"$41,491"
Volvo,S90 T6 Inscription,Used,Gasoline,Bright Silver Metallic,Good,Charcoal,52272,22,31,"$35,989"
Mercedes-Benz,AMG G 63 Base,Mercedes-Benz Certified,Gasoline,Graphite,,Platinum White,22940,13,15,"$189,999"
BMW,X3 xDrive35i,Used,Gasoline,Silver,Good,Black,56637,19,27,"$27,998"
Acura,MDX 3.5L w/Technology Package,Used,Gasoline,Black,Great,Ebony,42289,19,26,"$41,699"
Porsche,Macan Base,Used,Gasoline,Silver,Great,Black,44707,20,25,"$41,995"
Mercedes-Benz,GLC 350e Base 4MATIC,Used,Gasoline,WHITE,Good,Black,49775,0,0,"$39,990"
Honda,CR-V Touring,Used,Gasoline,Modern Steel Metallic,Good,–,34691,27,32,"$34,742"
Honda,CR-V EX-L,Honda Certified,Gasoline,Platinum White Pearl,Good,Ivory,13529,27,33,"$34,270"
Buick,Enclave Essence,Used,Gasoline,Quicksilver Metallic,Good,Dark Galvanized,33017,18,26,"$35,696"
Porsche,Macan S,Porsche Certified,Gasoline,Volcano Grey Metallic,Good,Black,51911,18,23,"$62,999"
Jeep,Grand Cherokee Limited,Jeep Certified,Gasoline,Diamond Black,Great,Black,34302,18,25,"$36,400"
GMC,Yukon SLT,Used,Gasoline,Onyx Black,Great,Jet Black,36309,15,22,"$52,484"
Audi,Q5 45 Premium,Used,Gasoline,Manhattan Gray Metallic,Good,Okapi Brown,18564,23,28,"$48,405"
Chevrolet,Blazer 2LT,Used,Gasoline,Gray,,Black,26000,21,27,"$22,995"
Ford,F-150 King Ranch,Used,Gasoline,Black,Good,Chaparral/Pale Adobe,199784,15,21,"$14,450"
Audi,Q7 55 Premium,Used,Gasoline,Samurai Gray Metallic,Fair,Saiga Beige,14095,18,23,"$77,995"
Audi,A4 2.0T Premium,Used,Gasoline,Glacier White Metallic,Good,Nougat Brown / Black,53813,24,34,"$27,959"
Chevrolet,Impala LT,Used,Gasoline Fuel,White,,Beige,121000,19,27,"$2,300"
Jeep,Grand Cherokee Limited,Used,E85 Flex Fuel,Bright White Clearcoat,Good,Light Frost,80186,17,25,"$22,500"
Ford,Fusion SEL,Used,Gasoline,Silver,Great,Ebony,46889,23,34,"$22,084"
GMC,Yukon Denali,Used,Gasoline,Midnight Blue Metallic,Good,Dark Walnut,11220,14,19,"$84,811"
Toyota,RAV4 Limited,Used,Gasoline,Black Currant Metallic,Good,Black,19379,23,29,"$32,727"
Toyota,RAV4 Limited,Used,Gasoline,Galactic Aqua,Good,Black,28147,23,29,"$32,099"
BMW,530 i,Used,Gasoline,White,Good,Mocha,30661,24,34,"$36,989"
Buick,Encore Sport Touring,Used,Gasoline,Deep,Good,Ebony,18252,24,29,"$23,718"
Audi,Q8 3.0T Premium,Used,Gasoline,Dragon Orange Metallic,Fair,Sarder Brown,52418,17,22,"$62,998"
Toyota,RAV4 LE,Used,Gasoline,Silver,Good,Ash,88685,23,30,"$21,762"
Honda,CR-V EX,Used,Gasoline,Gray,Good,Gray,38156,27,33,"$29,800"
Volkswagen,Tiguan 2.0T S,Used,Gasoline,Habanero Orange Metallic,Good,Titan Black,49743,22,29,"$23,279"
Jaguar,E-PACE SE,Used,Gasoline,Black,Good,Black,12879,21,28,"$44,999"
Porsche,911 Carrera,Used,Gasoline,Cobalt Blue Metallic,Great,Natural Brown,103956,18,26,"$34,995"
Acura,MDX Touring,Used,Gasoline,Black,Good,Ebony,174916,17,23,"$6,495"
Audi,Q7 3.0T Prestige,Used,Gasoline,Graphite Gray Metallic,Good,Black,69338,19,25,"$38,998"
INFINITI,QX60 Luxe,Used,Gasoline,Hermosa Blue,Good,Wheat,46573,19,26,"$36,998"
BMW,X1 xDrive28i,Used,Gasoline,Dark Olive Metallic,Fair,Beige,38749,22,31,"$29,590"
Nissan,Pathfinder S,Used,Gasoline,Glacier White,Good,Charcoal,59952,19,26,"$26,181"
Lexus,RX 350 Base,Used,Gasoline,Obsidian Black,Great,Parchment,15173,19,26,"$48,750"
GMC,Yukon XL Denali,Used,Gasoline,Onyx Black,Fair,Dark Walnut/Very Dark Ash Gray,38139,14,20,"$78,900"
Lamborghini,Urus Base,Used,Gasoline,–,,–,38822,12,17,"$269,998"
Lexus,GX 460 Base,Used,Gasoline,Gray,Good,–,51065,15,18,"$38,999"
BMW,X1 xDrive28i,Used,Gasoline,Alpine White,Great,Oyster / Black,30541,22,31,"$23,500"
Chevrolet,Trax LS,Used,Gasoline,Summit White,Great,Jet Black,10180,26,31,"$18,490"
Audi,Q8 3.0T Premium,Used,Gasoline,Samurai Gray Metallic,Fair,Black,21076,17,22,"$72,500"
Honda,Civic LX,Honda Certified,Gasoline,Modern Steel Metallic,Good,Black,25589,30,38,"$23,900"
Ford,Edge Titanium,Used,Gasoline,Magnetic Metallic,Fair,Ebony,67479,21,28,"$31,800"
Toyota,4Runner Limited,Used,Gasoline,Midnight Black Metallic,Good,Redwood,27082,17,20,"$43,555"
Ford,Edge Titanium,Ford Certified,Gasoline,Black,Good,Ebony,40657,21,28,"$32,385"
Nissan,Rogue SL,Nissan Certified,Gasoline,Brilliant Silver Metallic,Good,Charcoal,16565,25,32,"$34,599"
Acura,RDX Base,Used,Gasoline,Modern Steel Metallic,Good,Parchment,38620,21,27,"$33,999"
Audi,A6 2.0T Premium Plus,Used,Gasoline,Dakota Gray Metallic,Great,Nougat Brown,43369,22,32,"$23,835"
Mercedes-Benz,GLC 300 Base 4MATIC,Mercedes-Benz Certified,Gasoline,Selenite Gray Metallic,Great,Black,38634,22,27,"$37,490"
BMW,X1 sDrive28i,BMW Certified,Gasoline,Alpine White,Good,Oyster,18625,23,32,"$33,995"
BMW,X1 xDrive 28i,Used,Gasoline,White Metallic,Fair,Black,81894,22,32,"$21,890"
Honda,CR-V EX-L,Honda Certified,Gasoline,Dark Olive Metallic,Good,Black,35315,27,33,"$31,850"
Land,Rover Range Rover Evoque SE,Used,Gasoline,Fuji White,Good,Ebony / Ebony,24555,20,27,"$43,788"
Jeep,Wrangler Sport,Used,Gasoline,Black Clearcoat,Good,–,35610,17,25,"$34,422"
Nissan,Pathfinder SL,Used,Gasoline,Magnetic Black Pearl,Great,Charcoal,81229,20,27,"$24,465"
Tesla,Model 3 Performance,Used,–,Black,Great,Black,22761,118,107,"$67,995"
Tesla,Model X Long Range,Used,Electric,White,Good,Black,36199,99,93,"$94,981"
Audi,A3 2.0T Premium,Used,Gasoline,Brilliant Red,Good,Black,60353,24,33,"$21,515"
Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,Used,Gasoline,Selenite Gray Metallic,,Black,44290,17,22,"$66,440"
Honda,CR-V Touring,Used,Gasoline,White,Fair,–,46437,25,31,"$28,595"
Mercedes-Benz,GLE 350 Base 4MATIC,Used,Gasoline,White,Good,Black,46995,18,22,"$39,998"
Mercedes-Benz,C-Class C 300 4MATIC,Used,Gasoline,Gray,Fair,–,13677,21,29,"$55,135"
Buick,LaCrosse Premium,Used,Gasoline,Pepperdust Metallic,Fair,Light Neutral,33148,21,31,"$28,994"
Dodge,Journey SE,Used,Gasoline,Gray,,Black,19592,19,25,"$8,000"
Audi,Q8 3.0T Premium,Used,Gasoline,Night Black,Good,Black,45794,17,22,"$60,997"
Volkswagen,Atlas 3.6 V6 SE w/ Technology,Used,Gasoline,Deep Black Pearl Effect,Good,Titan Black,17001,17,23,"$40,000"
Lexus,NX 300 Base,Used,Gasoline,Black,Good,Red,35219,22,28,"$37,811"
Chevrolet,Equinox Premier w/1LZ,Chevrolet Certified,Gasoline,Summit White,Great,Jet Black,30477,26,31,"$27,994"
BMW,X3 sDrive30i,BMW Certified,Gasoline,Dark Graphite Metallic,Good,Black,17748,25,29,"$46,857"
Ford,Fusion SE,Ford Certified,Gasoline,Magnetic Metallic,Good,Ebony,53518,20,29,"$24,000"
Toyota,Camry SE,Used,Gasoline,Ruby Flare Pearl,Good,Black,30469,28,39,"$29,717"
Audi,Q8 3.0T Premium,Used,Gasoline,Orca Black Metallic,Good,Black,32937,17,22,"$66,989"
BMW,540 i,Used,Gasoline,Carbon Black Metallic,Fair,Black,59339,21,30,"$36,900"
Audi,A7 3.0T Prestige,Used,Gasoline,Mythos Black Metallic,Fair,Pearl Beige,37122,22,29,"$64,975"
Audi,Q5 2.0T Premium,Used,Gasoline,Navarra Blue Metallic,Good,Black,21704,22,27,"$36,880"
Mercedes-Benz,C-Class C 300,Used,Gasoline,Black,Good,Black,29750,24,33,"$32,494"
Toyota,4Runner Limited,Used,Gasoline,Classic Silver Metallic,Good,Redwood,84373,17,21,"$34,700"
Ford,Escape Titanium,Used,Gasoline,Magnetic Metallic,Good,Charcoal Black,35011,21,27,"$30,500"
Nissan,Sentra SV,Used,Gasoline,Rosewood Metallic,Good,Charcoal,13528,29,39,"$28,999"
Cadillac,Escalade ESV Luxury,Used,Gasoline,Black Raven,Great,Jet Black,39569,14,23,"$59,992"
Kia,Telluride SX,Used,Gasoline,Snow White Pearl,Good,Black,37118,19,24,"$49,491"
Dodge,Charger GT,Used,Gasoline,Pitch Black Clearcoat,Good,Black,35330,19,30,"$35,259"
Acura,MDX 3.5L w/Technology Package,Used,Gasoline,Gray,Good,Ebony,30368,18,26,"$35,698"
RAM,1500 Laramie,Used,Gasoline,Granite Crystal Clearcoat Metallic,Great,Black,48411,19,24,"$47,827"
Jeep,Grand Cherokee Limited,Used,Gasoline,Bright White Clearcoat,Good,Black,35510,18,25,"$41,548"
Ford,Edge SEL,Used,Gasoline,Stone Gray Metallic,Great,Ebony,15178,21,28,"$32,491"
Ford,F-150 Platinum,Used,Gasoline,White Platinum Tri-Coat Metallic,Good,Black,18186,16,22,"$56,000"
Chevrolet,Traverse LTZ,Used,Gasoline,Mosaic Black Metallic,Good,Ebony,89085,15,22,"$23,995"
Toyota,RAV4 XLE Premium,Used,Gasoline,Ruby Flare Pearl,Good,Black,14877,25,33,"$40,982"
Honda,Accord Sport,Honda Certified,Gasoline,Modern Steel Metallic,Good,Black,30028,29,35,"$30,795"
Mercedes-Benz,GLA 250 Base 4MATIC,Used,Gasoline,Polar White,Good,Macchiato Beige,14160,24,33,"$39,750"
Honda,Pilot EX-L,Used,Gasoline,Crystal Black Pearl,Good,Black,29946,19,27,"$36,500"
Mercedes-Benz,GLC 300 Base 4MATIC,Used,Gasoline,Black,Good,–,16000,21,28,"$44,777"
Lexus,RX 350 F Sport Performance,Used,Gasoline,Ultra White,Good,Black,18705,19,26,"$54,000"
Audi,Q5 2.0T Tech Premium,Used,Gasoline,Mythos Black Metallic,Good,Black,30787,23,27,"$36,699"
Toyota,RAV4 XLE,Toyota Certified,Gasoline,Magnetic Gray Metallic,Great,Ash,30476,23,30,"$24,988"
Honda,Pilot EX-L,Used,Gasoline,Crystal Black Pearl,Great,Black,40809,18,26,"$33,995"
Lincoln,Continental Black Label,Used,Gasoline,Black Velvet,Fair,Jet Black,81963,17,25,"$38,980"
Chevrolet,Impala LT,Used,E85 Flex Fuel,Gold Mist Metallic,Fair,Neutral,82492,18,30,"$11,790"
Cadillac,XT6 Premium Luxury FWD,Used,Gasoline,Satin Steel Metallic,Great,Jet Black,25998,18,25,"$48,403"
Chevrolet,Traverse Premier,Used,Gasoline,Mosaic Black Metallic,Good,Jet Black,37016,17,25,"$51,111"
GMC,Acadia SLE,Used,Gasoline,Ebony Twilight Metallic,Great,Jet Black,30753,21,27,"$31,210"
GMC,Sierra 1500 Denali,Used,Gasoline,Onyx Black,Great,–,11755,16,22,"$64,999"
Lexus,RX 350 350,Used,Gasoline,Atomic Silver,Good,Black,20225,19,26,"$47,260"
Chevrolet,Traverse LT Cloth,Used,Gasoline,Satin Steel Metallic,Great,Jet Black,47502,17,25,"$32,000"
Chevrolet,Silverado 1500 LT,Used,Gasoline,Northsky Blue Metallic,Great,Black,33178,18,21,"$36,750"
Chevrolet,Silverado 1500 Custom,Used,Gasoline,Satin Steel Metallic,Great,Jet Black,19648,15,20,"$32,999"
Buick,Enclave Essence,Used,Gasoline,Satin Steel Metallic,Great,Dark Galvanized,29542,17,25,"$33,994"
Buick,Encore Preferred,Buick Certified,Gasoline,Ebony Twilight Metallic,Good,Ebony,10393,25,30,"$23,200"
Buick,Enclave Essence,Buick Certified,Gasoline,Ebony Twilight Metallic,Good,Dark Galvanized,48325,17,25,"$34,995"
Subaru,Outback 2.5i Limited,Used,Gasoline,White,Good,Ivory,50216,25,32,"$29,524"
Honda,Civic LX,Used,Gasoline,Rallye Red,Good,Black,11831,30,38,"$26,189"
Ford,Explorer XLT,Used,Gasoline,Magnetic Metallic,Great,Ebony Black,48001,16,22,"$29,749"
Subaru,Legacy 2.5i Sport,Used,Gasoline,Ice Silver Metallic,Fair,Gray,84827,25,34,"$23,869"
Honda,Pilot EX-L w/ Navigation,Used,Gasoline,Polished Metal Metallic,Fair,Gray,97260,17,24,"$19,552"
Kia,Sorento LX,Used,Gasoline,Ebony Black,Great,Black,45236,23,25,"$31,995"
Chevrolet,Suburban LT,Used,Gasoline,Silver Ice Metallic,Good,Cocoa / Dune,80204,14,21,"$48,398"
Mercedes-Benz,GL-Class GL 450 4MATIC,Used,Gasoline,Steel Gray Metallic,Good,Almond Beige,97018,14,19,"$22,282"
Tesla,Model Y Long Range,Used,Electric,Black,Great,Black,10601,131,117,"$69,622"
Lexus,LC 500 Base,Used,Gasoline,Ultra White,Fair,Black,65815,16,26,"$67,490"
Honda,Pilot EX-L,Used,Gasoline,Platinum White,Good,Black,17243,20,27,"$37,099"
Mercedes-Benz,C-Class C 300,Used,Gasoline,Gray,Good,–,36101,23,34,"$34,995"
Mercedes-Benz,GLE 350 Base 4MATIC,Mercedes-Benz Certified,Gasoline,Gray Metallic,Good,–,45498,19,26,"$53,950"
Lincoln,Nautilus Reserve,Used,Gasoline,Burgundy Velvet,Fair,Cappuccino,36960,20,25,"$45,936"
Mazda,CX-9 Grand Touring,Used,Gasoline,Machine Gray Metallic,Great,Black,32459,22,28,"$34,980"
BMW,X5 xDrive40i,BMW Certified,Gasoline,Jet Black,Good,Black,18660,20,26,"$56,871"
Mazda,CX-9 Grand Touring,Used,Gasoline,Deep Crystal Blue Mica,Great,Black,32564,22,28,"$33,499"
BMW,328 i xDrive,Used,Gasoline,Black,Fair,Black,45325,22,33,"$22,995"
Jeep,Wrangler Sport,Used,Gasoline,Red,Good,Black,44235,17,25,"$35,998"
Toyota,RAV4 XLE,Used,Gasoline,Silver Sky Metallic,Good,Black,85520,23,30,"$22,588"
Kia,Sorento LX,Used,Gasoline,Ebony Black,Good,Stone Beige,49219,21,26,"$19,993"
Ford,Explorer XLT,Used,Gasoline,Blue Metallic,Good,Ebony Black,60137,16,22,"$32,800"
Honda,CR-V EX-L,Honda Certified,Gasoline,Platinum White Pearl,Good,Ivory,32032,27,33,"$32,290"
BMW,X3 xDrive30i,BMW Certified,Gasoline,Black Sapphire Metallic,Great,Oyster,14117,24,29,"$44,495"
Lincoln,Aviator Reserve AWD,Used,Gasoline,Radiance,Great,Medium Slate,20004,17,24,"$58,752"
Honda,Civic LX,Used,Gasoline,Black,Good,Black,33272,30,38,"$24,374"
Mercedes-Benz,C-Class C 300,Mercedes-Benz Certified,Gasoline,Black,Great,–,28713,23,34,"$33,214"
Cadillac,XT5 Luxury,Cadillac Certified,Gasoline,Deep Amethyst Metallic,Great,Beige,21550,19,26,"$31,823"
Mercedes-Benz,GLE 350 Base,Used,Gasoline,Polar White,Good,–,51985,18,23,"$38,971"
Toyota,Corolla LE,Used,Gasoline,Black,,Beige,46275,30,38,"$7,950"
Jeep,Grand Cherokee Limited,Used,Gasoline,Bright White Clearcoat,Great,Black,66863,18,25,"$32,489"
Ford,Edge Titanium,Used,Gasoline,White Platinum,Good,Charcoal,12810,21,28,"$35,299"
Buick,Enclave Leather,Used,Gasoline,Blue,Good,Gray,47743,15,22,"$25,744"
BMW,X5 xDrive35i,Used,Gasoline,Black Sapphire Metallic,,Black,88560,16,23,"$11,999"
Mercedes-Benz,AMG G 63 Base,Used,Gasoline,G manufaktur Dark Olive Green magno,,Espresso Brown,19695,13,15,"$212,990"
Audi,Q7 55 Prestige,Used,Gasoline,Samurai Gray Metallic,Fair,Black,35846,19,25,"$55,000"
Cadillac,XT5 Luxury,Used,Gasoline,Stellar Black Metallic,Good,Beige,37238,19,26,"$36,395"
Jeep,Grand Cherokee Limited,Jeep Certified,Gasoline,Diamond Black,Good,Black,59627,18,25,"$28,932"
Mazda,Mazda3 FWD w/Premium Package,Used,Gasoline,Jet Black Mica,Good,White,18563,27,36,"$25,287"
Audi,Q8 3.0T Premium,Used,Gasoline,Samurai Gray Metallic,Good,Pando Gray,19200,17,22,"$59,991"
Subaru,Outback Limited,Used,Gasoline,Magnetite Gray Metallic,Great,Gray,16386,26,33,"$33,998"
Lexus,GX 460 Base,Used,Gasoline,Nightfall Mica,Great,Black,12872,15,18,"$46,996"
Land,Rover Range Rover Velar P250 SE R-Dynamic,Used,Gasoline,Santorini Black,Great,Ebony / Ebony,37486,21,27,"$51,588"
Porsche,Macan S,Used,Gasoline,Sapphire Blue Metallic,Great,–,31850,17,23,"$47,990"
Mercedes-Benz,AMG E 63 S 4MATIC,Mercedes-Benz Certified,Gasoline,Polar White,Good,–,19351,15,23,"$99,980"
Honda,Pilot EX-L,Used,Gasoline,White Diamond Pearl,Great,Beige,36258,19,27,"$33,895"
Scion,xB Base,Used,Gasoline,Black Sand Pearl,Good,–,95852,22,28,"$13,492"
Bentley,Continental Flying Spur Speed,Used,Gasoline,Black,Great,–,57957,10,17,"$54,533"
BMW,330 i,Used,Gasoline,White,Good,Black,13084,26,36,"$41,999"
Honda,Civic LX,Honda Certified,Gasoline,Modern Steel Metallic,Good,–,32907,30,38,"$25,955"
Subaru,Outback 2.5i Limited,Used,Gasoline,Twilight Blue Metallic,Good,Black,62402,25,32,"$25,714"
Honda,Civic LX,Honda Certified,Gasoline,Molten Lava Pearl,Fair,Black,24531,30,38,"$26,792"
BMW,X5 xDrive40i,BMW Certified,Gasoline,Metallic,Fair,Coffee,37178,20,26,"$60,827"
BMW,430 i xDrive,BMW Certified,Gasoline,Mediterranean Blue Metallic,Fair,Venetian Beige,31375,22,32,"$55,995"
